Example,Seasonality,Reproductive Strategy ,Form,stem,Leaf position,Leaf shape,petiole,heads,Flower position,Phyllary/bracts,Receptacle/pedicel,Flowers types,Anther base,Anther tip,Corolla color,style tip,style branching,Fruit shape,Pappus/calyx/sepal,rhizome,Class
Pityopus,perennial ,monoecious,,0,,scale,,none,"raceme,solitary",present,,bisexual,,,cry,,,berry,free,,Ericaceae
Pleuricospora,perennial,monoecious,,0,0,0,,none,raceme,present,,bisexual,,long,cry,,,berry,free,,Ericaceae
Pterospora,perennial,monoecious,,0,,scale,,none,raceme,present,,bisexual,,,cry,,jointed,capsule,free,,Ericaceae
Pyrola,perennial,monoecious,,,,"ovate,round,obovate,entire",yes,none,raceme,several,,bisexual,,,,,,capsule,,yes,Ericaceae
Rhododendron ,perennial,monoecious,"shrub,tree","prostrate,erect",alternate,"entire,serrate",,none,umbel,present,unjointed,bisexual,,long,,,,capsule,fused,,Ericaceae
Sarcodes,perennial ,monoecious,,0,,scale,,none,raceme,present,,bisexual,,,red,,,capsule,free,,Ericaceae
Vaccinium,perennial ,monoecious,"shrub,tree",erect,alternate,,,none,"raceme,solitary",present,,bisexual,,long,white,,,berry,fused,"yes,no",Ericaceae
Xylococcus,perennial ,monoecious,shrub,erect,alternate,"elliptic,oblong",,none,panicle,present,unjointed,bisexual,,,wp,,,drupe,fused,,Ericaceae
Antirrhinum,both,monoecious,,"ascending,erect","opposite,alternate","laneolate,ovate",,none,"raceme,solitary",,present,bisexual,,,,,,"capsule,ovoid,spheric",,,Scrophulariaceae
Bacopa,both,monoecious,,"prostrat,erect",opposite,"narrow,obovate,round",,none,,,present,bisexual,,,wp,,,"capsule,spheric",,,Scrophulariaceae
Bellardia,annual ,monoecious,,erect,opposite,toothed,no,none,raceme,present,,bisexual,,hairy,wp,,,"capsule,ovoid",lobed,,Scrophulariaceae
Castilleja,annual,monoecious,subshrub,,,"entire,dissected",no,none,spike,lobed,,bisexual,,,,,,"capsule,ovoid",lobed,,Scrophulariaceae
Collinsia,annual,monoecious,,,opposite,,yes,none,,present,present,bisexual,,,blupu,,,capsule,lobed,,Scrophulariaceae
Cordylanthus,annual,monoecious,,,,lobed,no,none,"spike,solitary",leaf like,,bisexual,,,,,,capsule,,,Scrophulariaceae
Cymbalaria,both,monoecious,,decumbent,"opposite,alternate","round,reniform,entire,lobed,palmate",yes,none,solitary,,,bisexual,,,purple,,,spheric,"lobed,unequal",,Scrophulariaceae
Digitalis,perbi,monoecious,,erect,"alternate,rosette",,,none,raceme,present,present,bisexual,,,wp,,,ovoid,lobed,,Scrophulariaceae
Dopatrium,annual,monoecious,,erect,opposite,,,none,solitary,leaf like,spreading,bisexual,,,yblpu,,,spheric,lobed,,Scrophulariaceae
Galvezia,perennial,monoecious,shrub,"erect,branched","opposite,whorled","pinnate,entire",,none,raceme,,present,bisexual,,,red,,,"ovoid,spheric","entire,equal,lobed",,Scrophulariaceae
Gratiola,annual ,monoecious,,"ascending,erect",opposite,"entire,dentate",no,none,raceme,,present,bisexual,,,,,,,free,,Scrophulariaceae
Hebe,perennial ,monoecious,shrub,,opposite,simple,no,none,raceme,,,bisexual,,,blue,,,capsule,lobed,,Scrophulariaceae
Keckiella,perennial ,monoecious,"subshrub,shrub",branched,opposite,,yes,none,"panicle,spike",small,present,bisexual,,,wr,,,"capsule,ovoid","equal,lobed",,Scrophulariaceae
