Example,Shoot growth form,Leaf distribution along the axis (arrangement),Apomixis,Plant growth form,Plant growth form standardized,Flower sexual system,Species reproduction types,Flower color,Fruit type,Leaf shape: 2. outline,Leaf shape: 3. pointed/round,Leaf shape: 4. length versus breadth,Leaf shape: 5. leaf base,Leaf shape: 6. leaf petiole type,Leaf type,"Dicliny (monoeceous, dioecious, hermaphrodite)",Fertilization,Seed morphology,Plant functional type PFT (Sheffield DGVM 1),Plant functional type PFT (Sheffield DGVM 2),Plant functional type PFT (Sheffield DGVM 3),Plant functional type PFT (LPJ DGVM 1),Plant functional type PFT (LPJ DGVM 2),"Plant functional type PFT (Poulter, B)",Leaf shape,Dichogamy,Growth Form,Low Growing Grass,Shape and Orientation,Plant functional type PFT (Biome-BGC 1),Plant functional type PFT (Biome-BGC 2),Flower - Inflorescence,Flower - Corolla,Leaf shape: driptip,Class
Gladiolus martleyi,,alternate,,herb,Herb,,,white,capsule,,,,,,,,,,,,,,,,oblong to linear,,,,,,,spike (-like),(partly) united,,Gladiolus
Gladiolus melleri,,rosulate,,herb,,,,yellow,capsule,,,,,,,,,,,,,,,,oblong to linear,,,,,,,spike (-like),free,,Gladiolus
Gladiolus muenzneri,,alternate,,herb,,,,yellow,capsule,,,,,,,,,,,,,,,,oblong to linear,,,,,,,spike (-like),(partly) united,,Gladiolus
Gladiolus ornatus,,alternate,,herb,,,,purple,capsule,,,,,,,,,,,,,,,,oblong to linear,,,,,,,spike (-like),free,,Gladiolus
Gladiolus palustris,Stem erect,rosette,"amphimicitc, sexual",Forbs,,hermaphroditic,by seed and vegetatively,purple,capsule,,,,,,,,,Flat appendages (large),,,,,,,always ensiform,,,,,,,,,,Gladiolus
Gladiolus permeabilis,,alternate,,herb,,,,yellow,capsule,,,,,,,,,,,,,,,,oblong to linear,,,,,,,spike (-like),(partly) united,,Gladiolus
Gladiolus rogersii,,alternate,,herb,,,,purple,capsule,,,,,,broadleaved,,,,,,,,,,oblong to linear,,,,,,,spike (-like),(partly) united,no,Gladiolus
Gladiolus scullyi,,alternate,,herb,Herb,,,yellow,capsule,,,,,,,,,,,,,,,,oblong to linear,,,,,,,spike (-like),free,,Gladiolus
Gladiolus stefaniae,,alternate,,herb,Herb,,,red,capsule,,,,,,,,,,,,,,,,oblong to linear,,,,,,,solitary (or few) flowers,free,,Gladiolus
Gladiolus tristis,,alternate,,herb,Herb,,,yellow,capsule,,,,,,,,,,,,,,,,oblong to linear,,,,,,,spike (-like),(partly) united,,Gladiolus
Gladiolus unguiculatus,,,,herb,Herb,,,white,capsule,,,,,,,,,,,,,,,,oblong to linear,,,,,,,spike (-like),(partly) united,,Gladiolus
Gladiolus vaginatus,,alternate,,herb,,,,white,capsule,,,,,,,,,,,,,,,,oblong to linear,,,,,,,spike (-like),(partly) united,,Gladiolus
Gladiolus variegatus,,alternate,,herb,,,,white,capsule,,,,,,,,,,,,,,,,oblong to linear,,,,,,,spike (-like),free,,Gladiolus
Gladiolus watsonioides,,rosulate,,herb,,,,red,capsule,,,,,,,,,,,,,,,,oblong to linear,,,,,,,spike (-like),free,,Gladiolus
Hieracium alpinum,Stem erect,rosette,facultativ apomictic,Forbs,Herb,hermaphroditic,by seed and vegetatively,yellow,nut,,,,,,,,,,,,,,,,always simple,,,,,,,,,,Hieracium
Hieracium amplexicaule,Stem erect,semi-rosette,facultativ apomictic,Forbs,,hermaphroditic,by seed and vegetatively,yellow,nut,,,,,,,,,Two or more long elongated appendages,,,,,,,always long-leaf,,,,,,,,,,Hieracium
Hieracium bifidum,Stem erect,rosette,facultativ apomictic,Forbs,,hermaphroditic,by seed and vegetatively,yellow,nut,,,,,,,,,,,,,,,,always simple,,,,,,,,,,Hieracium
Hieracium bupleuroides,,semi-rosette,facultativ apomictic,,,hermaphroditic,by seed and vegetatively,yellow,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Hieracium
Hieracium caesium,Stem erect,semi-rosette,facultativ apomictic,forb,,hermaphroditic,by seed and vegetatively,yellow,nut,,,,,,,,,,,,,,,,always simple,,,,,,,,,,Hieracium
Hieracium cymosum,Stem erect,always Hemirosette plant,facultativ apomictic,Forbs,Herb,hermaphroditic,by seed and vegetatively,yellow,nut,,,,,,,,,,,,,,,,always long-leaf,,,,,,,,,,Hieracium
Hieracium flagellare,Stem erect,rosette / tufted plant above ground above ground in water or on water surface,facultativ apomictic,Forbs,Herb,hermaphroditic,by seed and vegetatively,yellow,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Hieracium
Hieracium fuscocinereum,Stem erect,semi-rosette,facultativ apomictic,,,hermaphroditic,by seed and vegetatively,yellow,nut,,,,,,,,,,,,,,,,always simple,,,,,,,,,,Hieracium
Hieracium glaucinum,Stem erect,rosette / tufted plant above ground above ground in water or on water surface,facultativ apomictic,Forbs,,hermaphroditic,by seed and vegetatively,yellow,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Hieracium
Hieracium glaucum,,semi-rosette,facultativ apomictic,,,hermaphroditic,by seed and vegetatively,yellow,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Hieracium
Hieracium hoppeanum,,rosette / tufted plant above ground above ground in water or on water surface,facultativ apomictic,,Herb,hermaphroditic,by seed and vegetatively,yellow,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Hieracium
Hieracium humile,,semi-rosette,facultativ apomictic,Forbs,Herb,hermaphroditic,by seed and vegetatively,yellow,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Hieracium
Hieracium inuloides,,always Erosulate plant,facultativ apomictic,,,hermaphroditic,by seed and vegetatively,yellow,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Hieracium
Hieracium laevigatum,Stem erect,no rosette,facultativ apomictic,Forbs,Herb,hermaphroditic,by seed and vegetatively,yellow,nut,,,,,,,,,Elongated appendages,,,,,,,always long-leaf,,,,,,,,,,Hieracium
Hieracium maculatum,Stem erect,semi-rosette,facultativ apomictic,Forbs,Herb,hermaphroditic,by seed and vegetatively,yellow,nut,,,1-3 times as long as wide,,,,,,,,,,,,,,,,,,,,,,,Hieracium
Hieracium murorum,Stem erect,semi-rosette,facultativ apomictic,b H,Herb,hermaphroditic,by seed and vegetatively,yellow,nut,,,,,,,,,Elongated appendages,,,,,,,always simple,,,,,,,,,,Hieracium
Hieracium nigrescens,,always Hemirosette plant,facultativ apomictic,,,hermaphroditic,by seed and vegetatively,yellow,nut,,,,,,,,,,,,,,,,always simple,,,,,,,,,,Hieracium
Hieracium picroides,,semi-rosette,facultativ apomictic,,,hermaphroditic,by seed and vegetatively,yellow,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Hieracium
Hieracium piliferum,,semi-rosette,facultativ apomictic,Forbs,,hermaphroditic,by seed and vegetatively,yellow,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Hieracium
Hieracium pilosum,,semi-rosette,facultativ apomictic,b H,,hermaphroditic,by seed and vegetatively,yellow,nut,,,,,,,,,,,,,,,,,,,,,,,,,,Hieracium
Hieracium prenanthoides,Stem erect,no rosette,facultativ apomictic,,Herb,hermaphroditic,by seed and vegetatively,yellow,nut,,,>3 times as long as wide,,,,,,,,,,,,,,,,,,,,,,,Hieracium
Hieracium racemosum,Stem erect,no rosette,facultativ apomictic,Forbs,,hermaphroditic,by seed and vegetatively,yellow,nut,,,,,,,,,,,,,,,,always simple,,,,,,,,,,Hieracium
Hieracium sabaudum,Stem erect,no rosette,facultativ apomictic,herb/sub-shrub,Herb,hermaphroditic,by seed and vegetatively,yellow,nut,,,,,,,,,,,,,,,,always simple,,,,,,,,,,Hieracium
Hieracium schmidtii,Stem erect,semi-rosette,facultativ apomictic,,,hermaphroditic,by seed and vegetatively,yellow,nut,,,1-3 times as long as wide,,,,,,,,,,,,,always simple,,,,,,,,,,Hieracium
Hieracium umbellatum,Stem erect,no rosette,facultativ apomictic,Forbs,Herb,hermaphroditic,by seed and vegetatively,yellow,nut,toothed,pointed,>3 times as long as wide,,,,hermaphrodite,cross or automatic self,Two or more short elongated appendages,,,,,,,always long-leaf,,,,,,,,,,Hieracium
Hieracium villosum,,semi-rosette,facultativ apomictic,b H,,hermaphroditic,by seed and vegetatively,yellow,nut,,,,,,,,,Elongated appendages,,,,,,,,,,,,,,,,,Hieracium
Juncus acutiflorus,Stem erect,no rosette,"amphimicitc, sexual",graminoid,Herb,hermaphroditic,by seed and vegetatively,brown,capsule,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,hermaphrodite,,"No appendages, smooth surface",,,,,,,always tubular,markedly protogynous,,,,,,,,,Juncus
Juncus acutus,,semi-rosette,,Herbaceous perennial,Herb,,generative,,,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,hermaphrodite,,,,,,,,,,protogynous,,,,,,,,,Juncus
Juncus alpinoarticulatus,Stem erect,,"amphimicitc, sexual",Graminoids,Herb,hermaphroditic,by seed and vegetatively,brown,capsule,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,hermaphrodite,,,,,,,,,always tubular,protogynous,,,,,,,,,Juncus
Juncus anceps,,,"amphimicitc, sexual",Graminoids,,hermaphroditic,by seed and vegetatively,brown,capsule,,,,,,,,,,,,,,,,always tubular,,,,,,,,,,Juncus
Juncus articulatus,Stem erect,semi-rosette,"amphimicitc, sexual",Graminoids,Herb,hermaphroditic,by seed and vegetatively,Purple,capsule,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,hermaphrodite,normally cross,"No appendages, smooth surface",,,,,,,always tubular,markedly protogynous,Rhizomatous,No,Erect,,,,,,Juncus
Juncus atratus,Stem erect,no rosette,"amphimicitc, sexual",Graminoids,Herb,hermaphroditic,by seed and vegetatively,brown,capsule,,,,,,,,,,,,,,,,always tubular,,,,,,,,,,Juncus
Juncus balticus,Stem erect,no rosette,"amphimicitc, sexual",Herbaceous perennial,,hermaphroditic,vegetative,,capsule,,,,,,,hermaphrodite,,"No appendages, coarse surface",,,,,,,always tubular,protogynous,,,,,,,,,Juncus
Juncus biglumis,Stem erect,rosette / tufted plant above ground above ground in water or on water surface,,G,Herb,,,Purple,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,hermaphrodite,,Closed structures,GC3,GC3,GC3,GC3,GC3,,,protogynous,Rhizomatous,No,Erect,GC3,GC3,,,,Juncus
Juncus bufonius,Stem erect,semi-rosette,"amphimicitc, sexual",Annual,Herb,hermaphroditic,by seed/by spore,Green,capsule,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,hermaphrodite,,"No appendages, smooth surface",,,,,,,always tubular,markedly protogynous,Bunch,No,Semi-Erect,,,,,,Juncus
Juncus bulbosus,Submerged attached to the substrate,,"amphimicitc, sexual",amphibiousubmerged,Herb,hermaphroditic,vegetative,green,capsule,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,hermaphrodite,viviparous,No appendages,,,,,,,always tubular,protogynous,,,,,,,,,Juncus
Juncus capitatus,Stem erect,no rosette,"amphimicitc, sexual",Annual,Herb,hermaphroditic,by seed/by spore,white,capsule,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,hermaphrodite,,"No appendages, smooth surface",,,,,,,always tubular,protogynous,,,,,,,,,Juncus
Juncus castaneus,Stem erect,no rosette,,Graminoids,Herb,,,Brown,,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,hermaphrodite,,Closed structures,,,,,,,,markedly protogynous,Stoloniferous,No,Erect,,,,,,Juncus
Juncus compressus,Stem erect,semi-rosette,"amphimicitc, sexual",Graminoids,Herb,hermaphroditic,by seed and vegetatively,brown,capsule,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,hermaphrodite,normally cross,,,,,,,,always tubular,protogynous,,,,,,,,,Juncus
Juncus conglomeratus,Stem erect,no rosette,"amphimicitc, sexual",Graminoids,Herb,hermaphroditic,by seed and vegetatively,brown,capsule,,,,,,,hermaphrodite,,"No appendages, smooth surface",,,,,,,always tubular,protogynous,,,,,,,,,Juncus
Juncus dudleyi,,always Erosulate plant,"amphimicitc, sexual",,Herb,hermaphroditic,by seed and vegetatively,,capsule,,,,,,,,,,,,,,,,always tubular,,,,,,,,,,Juncus
Juncus effusus,Stem erect,,"amphimicitc, sexual",graminoid,Herb,hermaphroditic,by seed and vegetatively,Brown,capsule,,,,,,broadleaved,hermaphrodite,,"No appendages, smooth surface",,,,,,Temperate,always tubular,protogynous,Bunch,No,Erect,,,,,,Juncus
Juncus ensifolius,,always Hemirosette plant,"amphimicitc, sexual",Graminoid,Herb,hermaphroditic,by seed and vegetatively,Purple,capsule,,,,,,,,,,,,,,,,always tubular,,Rhizomatous,No,Erect,,,,,,Juncus
Juncus filiformis,Stem erect,no rosette,"amphimicitc, sexual",Graminoids,Herb,hermaphroditic,"mostly vegetatively, rarely by seed",white,capsule,,,,,,,hermaphrodite,,"No appendages, coarse surface",,,,,,,always tubular,weakly protogynous,,,,,,,,,Juncus
Juncus gerardii,Stem erect,,"amphimicitc, sexual",Herbaceous perennial,Herb,hermaphroditic,by seed and vegetatively,brown,capsule,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,hermaphrodite,,"No appendages, smooth surface",,,,,,,always tubular,protogynous,,,,,,,,,Juncus
Juncus inflexus,Stem erect,no rosette,"amphimicitc, sexual",Graminoids,Herb,hermaphroditic,"mostly by seed, rarely vegetatively",brown,capsule,,,,,,,hermaphrodite,,"No appendages, smooth surface",,,,,,,always tubular,protogynous,,,,,,,,,Juncus
Juncus jacquinii,,no rosette,"amphimicitc, sexual",Graminoids,,hermaphroditic,by seed and vegetatively,brown,capsule,,,,,,,,,,,,,,,,always tubular,,,,,,,,,,Juncus
Juncus maritimus,Stem erect,no rosette,"amphimicitc, sexual",Herbaceous perennial,Herb,hermaphroditic,by seed and vegetatively,yellow,capsule,entire,pointed,>3 times as long as wide,parallel-sided,sessile,,hermaphrodite,,"No appendages, coarse surface",,,,,,,always tubular,protogynous,,,,,,,,,Juncus
Juncus minutulus,Stem erect,always Hemirosette plant,"amphimicitc, sexual",Graminoids,Herb,hermaphroditic,by seed/by spore,,capsule,,,,,,,,,,,,,,,,always tubular,,,,,,,,,,Juncus
Juncus pygmaeus,Stem erect,always Hemirosette plant,"amphimicitc, sexual",grass,,hermaphroditic,by seed/by spore,green,capsule,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,hermaphrodite,,"No appendages, smooth surface",,,,,,,always tubular,protogynous,,,,,,,,,Juncus
Juncus ranarius,Stem erect,semi-rosette,"amphimicitc, sexual",Graminoids,,hermaphroditic,by seed/by spore,white,capsule,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,hermaphrodite,,,,,,,,,always tubular,protogynous,,,,,,,,,Juncus
Juncus sphaerocarpus,Stem erect,semi-rosette,"amphimicitc, sexual",grass,Herb,hermaphroditic,by seed/by spore,white,capsule,,,,,,,,,"No appendages, coarse surface",,,,,,,always tubular,,,,,,,,,,Juncus
Juncus squarrosus,Stem erect,rosette,"amphimicitc, sexual",herb,Herb,hermaphroditic,by seed and vegetatively,brown,capsule,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,hermaphrodite,,"No appendages, coarse surface",,,,,,,always tubular,weakly protogynous,,,,,,,,,Juncus
Juncus stygius,Stem erect,rosette,"amphimicitc, sexual",grass,Herb,hermaphroditic,by seed and vegetatively,green,capsule,,,,,,,,,Closed structures,,,,,,,always tubular,,,,,,,,,,Juncus
Juncus subnodulosus,Stem erect,no rosette,"amphimicitc, sexual",Graminoids,Herb,hermaphroditic,by seed and vegetatively,yellow,capsule,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,hermaphrodite,,"No appendages, smooth surface",na,na,na,na,na,,always tubular,protogynous,,,,,,,,,Juncus
Juncus tenageia,Stem erect,no rosette,"amphimicitc, sexual",Graminoids,Herb,hermaphroditic,by seed/by spore,brown,capsule,,,,,,,,,"No appendages, coarse surface",,,,,,,always tubular,,,,,,,,,,Juncus
Juncus tenuis,Stem erect,semi-rosette,"amphimicitc, sexual",Graminoids,Herb,hermaphroditic,generative,Green,capsule,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,hermaphrodite,,Other specialisation,,,,,,,always tubular,protogynous,Bunch,No,Erect,,,,,,Juncus
Juncus trifidus,Stem erect,no rosette,"amphimicitc, sexual",Graminoids,Herb,hermaphroditic,by seed and vegetatively,brown,capsule,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,broadleaved,hermaphrodite,,"No appendages, coarse surface",GC3,GC3,GC3,GC3,GC3,,always tubular,markedly protogynous,,,,GC3,GC3,,,,Juncus
Juncus triglumis,Stem erect,rosette,"amphimicitc, sexual",Graminoid,Herb,hermaphroditic,by seed and vegetatively,White,capsule,entire,pointed,>3 times as long as wide,parallel-sided,sheathing,,hermaphrodite,,Closed structures,,,,,,,always tubular,protogynous,Bunch,No,Erect,,,,,,Juncus
Pinus albicaulis,,spirally,,Tree,Tree,,,Yellow,,,,,,,needleleaved,,,,,,,,,,,,Single Stem,No,Erect,,,,,acute,Pinus
Pinus banksiana,,spirally,,tree,Tree,,,Yellow,,,,,,,needleleaved,,,,EvNl,TEN,TEN,TmpEvNl,TmpEvNl,Boreal,,,Single Stem,No,Erect,EvNl,EvNl,,,acute,Pinus
Pinus canariensis,,spirally,,Tree,Tree,,,Green,,,,,,,N,,,,TEN,TEN,TEN,TmpEvNl,TmpEvNl,,,,Single Stem,No,Erect,EvNl,EvNl,,,acute,Pinus
Pinus cembra,,spirally,"amphimicitc, sexual",Tree,Tree,monoecious,by seed/by spore,,missing,,,,,,needle-leaved,,,No appendages,,,,,,,always acicular,,,,,,,,,acute,Pinus
Pinus clausa,,spirally,,Tree,Tree,,,Yellow,,,,,,,needle-leaved,,,,,,,,,,,,Single Stem,No,Erect,,,,,subulate,Pinus
Pinus contorta,Stem erect,spirally,,tree,Tree,,,Brown,,,,,,,needleleaved,,,,,,,,,Boreal,,,Single Stem,No,Erect,,,,,acute,Pinus
Pinus coulteri,,spirally,,Tree,Tree,,,Yellow,,,,,,,,,,,,,,,,,,,Single Stem,No,Conical,,,,,subulate,Pinus
Pinus edulis,,spirally,,T,Tree,,,Yellow,,,,,,,needleleaved,,,,TEN,TEN,TEN,TmpEvNl,TmpEvNl,,,,Single Stem,No,Conical,EvNl,EvNl,,,acute,Pinus
Pinus elliottii,,spirally,,tree,Tree,,,Red,,,,,,,needleleaved,,,,,,,,,Temperate,,,Single Stem,No,Erect,,,,,acute,Pinus
Pinus flexilis,,spirally,,T,Tree,,,Green,,,,,,,needleleaved,,,,EvNl,TEN,TEN,BorEvNl,TmpEvNl,,,,Single Stem,No,Erect,EvNl,EvNl,,,acute,Pinus
Pinus halepensis,,spirally,,T,Tree,,,,dry,,,,,,N,,,,TEN,TEN,TEN,TmpEvNl,TmpEvNl,,needle-like,,,,,EvNl,EvNl,,,,Pinus
Pinus jeffreyi,,spirally,,T,Tree,,,Brown,,,,,,,N,,,,TEN,TEN,TEN,TmpEvNl,TmpEvNl,,,,Single Stem,No,Erect,EvNl,EvNl,,,acute,Pinus
Pinus koraiensis,,spirally,,tree,Tree,,,,,,,,,,needleleaved,,,,,,,,,Boreal,linear,,,,,,,,,obtuse,Pinus
Pinus massoniana,,spirally,,tree,Tree,,,,,,,,,,needleleaved,,,,,,,,,Temperate,linear,,,,,,,,,acute,Pinus
Pinus monophylla,,spirally,,T,Tree,,,Yellow,,,,,,,N,,,,TEN,TEN,TEN,TmpEvNl,TmpEvNl,,,,Single Stem,No,Rounded,EvNl,EvNl,,,subulate,Pinus
Pinus monticola,,spirally,,T,Tree,,,Yellow,,,,,,,needle-leaved,,,,,,,,,,,,Single Stem,No,Conical,,,,,acute,Pinus
Pinus mugo,,spirally,"amphimicitc, sexual",Tree shrub intermediate,Tree,monoecious,by seed/by spore,Yellow,missing,,,,,,needle-leaved,,,No appendages,,,,,,,always acicular,,Multiple Stem,No,Decumbent,,,,,acute,Pinus
Pinus nigra,Stem erect,spirally,"amphimicitc, sexual",T,Tree,monoecious,by seed/by spore,Yellow,missing,,,,,,N,,,Flat appendages,TEN,TEN,TEN,TmpEvNl,TmpEvNl,,always acicular,,Single Stem,No,Rounded,EvNl,EvNl,,,acute,Pinus
Pinus palustris,,spirally,,tree,Tree,,,Brown,,,,,,,needleleaved,,,,EvNl,TEN,TEN,TmpEvNl,TmpEvNl,Temperate,,,Single Stem,No,Erect,EvNl,EvNl,,,acute,Pinus
Pinus pinaster,Stem erect,spirally,,tree,Tree,,,,dry,toothed,pointed,>3 times as long as wide,parallel-sided,sessile,needleleaved,monoecious,,,TEN,TEN,TEN,TmpEvNl,TmpEvNl,Temperate,needle-like,,,,,EvNl,EvNl,,,acuminate (strongly acute),Pinus
Pinus ponderosa,,spirally,,T,Tree,,,Yellow,,,,,,,needleleaved,,,,TEN,TEN,TEN,TmpEvNl,TmpEvNl,,,,Single Stem,No,Rounded,EvNl,EvNl,,,acuminate (strongly acute),Pinus
Pinus pungens,,spirally,,tree,Tree,,,Yellow,,,,,,,needleleaved,,,,,,,,,Boreal,,,Single Stem,No,Conical,,,,,acute,Pinus
Pinus radiata,,spirally,,tree,Tree,,,Yellow,,,,,,,needleleaved,,,,EvNl,,,TmpEvNl,,Temperate,,,Single Stem,No,Erect,,,,,subulate,Pinus
Pinus resinosa,,spirally,,tree,,,,Brown,,,,,,,needleleaved,,,,EvNl,TEN,TEN,TmpEvNl,TmpEvNl,Boreal,,,Single Stem,No,Erect,EvNl,EvNl,,,acute,Pinus
Pinus rigida,,spirally,,T,Tree,,,Green,,,,,,,needleleaved,,,,EvNl,TEN,TEN,TmpEvNl,TmpEvNl,,,,Single Stem,No,Erect,EvNl,EvNl,,,subulate,Pinus
Pinus sabiniana,,spirally,,Tree,Tree,,,Yellow,,,,,,,,,,,,,,,,,,,Single Stem,No,Erect,,,,,acuminate (strongly acute),Pinus
Pinus serotina,,spirally,,T,Tree,,,Yellow,,,,,,,needleleaved,,,,EvNl,TEN,TEN,TmpEvNl,TmpEvNl,,,,Single Stem,No,Conical,EvNl,EvNl,,,acuminate (strongly acute),Pinus
Pinus strobus,Stem erect,spirally,"amphimicitc, sexual",tree,Tree,monoecious,by seed/by spore,Red,missing,,,,,,needleleaved,,,No appendages,EvNl,TEN,TEN,TmpEvNl,TmpEvNl,Boreal,always acicular,,Single Stem,No,Erect,EvNl,EvNl,,,acute,Pinus
Pinus sylvestris,Stem erect,spirally,"amphimicitc, sexual",tree,Tree,gynodioecious,by seed/by spore,,missing,toothed,pointed,>3 times as long as wide,parallel-sided,sessile,needleleaved,monoecious,,Flat appendages,EvNl,TEN,TEN,BorEvNl,TmpEvNl,Boreal,always acicular,,Single Stem,No,Conical,EvNl,EvNl,,,acuminate (strongly acute),Pinus
Pinus tabuliformis,,spirally,,T,Tree,,,,,,,,,,needleleaved,,,,,,,,,Boreal,linear,,,,,,,,,acuminate (strongly acute),Pinus
Pinus taeda,,spirally,,tree,Tree,,,,,,,,,,needleleaved,,,,,,,,,Temperate,,,Single Stem,No,Rounded,,,,,acute,Pinus
Pinus uncinata,Stem erect,spirally,"amphimicitc, sexual",Tree,,monoecious,by seed/by spore,,missing,,,,,,,,,,,,,,,,always acicular,,,,,,,,,,Pinus
Potentilla acaulis,,,,herb,Herb,,,,,,,,,,broadleaved,,,,,,,,,Boreal,flavate,,,,,,,,,,Potentilla
Potentilla alba,Stem ascending to prostrate,no rosette,"amphimicitc, sexual",forb,,hermaphroditic,by seed and vegetatively,white,aggregate nutlets,,,,,,,,,Elaiosome,,,,,,,always palmate,,,,,,,,,,Potentilla
Potentilla anglica,Stem erect,rosette,,Forbs,Herb,hermaphroditic,by seed and vegetatively,yellow,aggregate nutlets,toothed,pointed,length = width,cuneate,petiolate,,hermaphrodite,,,,,,,,,always palmate,,,,,,,,,,Potentilla
Potentilla anserina,Stem erect,,"amphimicitc, sexual",herb,Herb,gynodioecy|gynomonoecy,vegetative & generative,Yellow,aggregate nutlets,toothed,pointed,>3 times as long as wide,cuneate,petiolate,broadleaved,hermaphrodite,obligatory cross,No appendages,na,GC3,GC3,na,GC3,,always pinnate,homogamous,Stoloniferous,No,Decumbent,,GC3,,,,Potentilla
Potentilla argentea,Stem ascending to prostrate,semi-rosette,"amphimicitc, sexual",herb,Herb,dioecy|apomictic,by seed/by spore,yellow,aggregate nutlets,lobed,pointed,length = width,cuneate,sessile,,hermaphrodite,apomictic,No appendages,,,,,,,always palmate,,,,,,,,,,Potentilla
Potentilla aspegrenii,Stem ascending to prostrate,always Hemirosette plant,obligat apomictic,,,hermaphroditic,by seed/by spore,yellow,aggregate nutlets,,,,,,,,,,,,,,,,always palmate,,,,,,,,,,Potentilla
Potentilla aurea,Stem ascending to prostrate,no rosette,facultativ apomictic,b H,,gynodioecious,by seed and vegetatively,yellow,aggregate nutlets,,,,,,broadleaved,,,No appendages,na,GC3,GC3,na,GC3,,always palmate,,,,,,GC3,,,,Potentilla
Potentilla brauniana,,,,b H,,hermaphroditic,by seed/by spore,yellow,aggregate nutlets,,,,,,,,,,,,,,,,always palmate,,,,,,,,,,Potentilla
Potentilla caulescens,,no rosette,"amphimicitc, sexual",b H,,hermaphroditic,by seed/by spore,white,aggregate nutlets,,,,,,,,,,,,,,,,always palmate,,,,,,,,,,Potentilla
Potentilla clusiana,,no rosette,,,,hermaphroditic,by seed/by spore,white,aggregate nutlets,,,,,,,,,,,,,,,,always palmate,,,,,,,,,,Potentilla
Potentilla collina,Stem ascending to prostrate,no rosette,obligat apomictic,,Herb,hermaphrodite|apomictic,by seed/by spore,yellow,aggregate nutlets,,,,,,,,,,,,,,,,always palmate,,,,,,,,,,Potentilla
Potentilla crantzii,Stem erect,,facultativ apomictic,herb,Herb,hermaphroditic,by seed and vegetatively,yellow,aggregate nutlets,toothed,pointed,length = width,cuneate,subsessile,broadleaved,hermaphrodite,cross or automatic self,"No appendages, coarse surface",na,GC3,GC3,na,GC3,,always palmate,homogamous,,,,,GC3,,,,Potentilla
Potentilla discolor,,,,herb,,hermaphrodite,,,,,,,,,,,,,,,,,,,pinnate,,,,,,,,,,Potentilla
Potentilla erecta,Stem erect,no rosette,"amphimicitc, sexual",Herbaceous dicots,Herb,hermaphrodite,by seed and vegetatively,yellow,aggregate nutlets,toothed,rounded,length = width,cuneate,sessile,,hermaphrodite,obligatory cross,Elaiosome,na,na,na,na,na,,always palmate,protogynous,,,,,,,,,Potentilla
Potentilla heptaphylla,Stem ascending to prostrate,semi-rosette,facultativ apomictic,Forbs,,hermaphroditic,by seed/by spore,yellow,aggregate nutlets,,,,,,,,,,,,,,,,always palmate,,,,,,,,,,Potentilla
Potentilla incana,,no rosette,facultativ apomictic,mesoxerophyte,Herb,hermaphroditic,by seed and vegetatively,yellow,aggregate nutlets,,,,,,,,,,,,,,,,always palmate,,,,,,,,,,Potentilla
Potentilla inclinata,Stem erect,semi-rosette,facultativ apomictic,herb,Herb,hermaphroditic,by seed/by spore,yellow,aggregate nutlets,,,,,,,,,,,,,,,,always palmate,,,,,,,,,,Potentilla
Potentilla intermedia,Stem erect,semi-rosette,facultativ apomictic,Forbs,Herb,hermaphroditic,by seed/by spore,yellow,aggregate nutlets,,,,,,,,,,,,,,,,always palmate,,,,,,,,,,Potentilla
Potentilla leucopolitana,Stem erect,always Hemirosette plant,obligat apomictic,,,hermaphroditic,by seed/by spore,yellow,aggregate nutlets,,,,,,,,,,,,,,,,always palmate,,,,,,,,,,Potentilla
Potentilla micrantha,Stem ascending to prostrate,no rosette,"amphimicitc, sexual",b H,Herb,hermaphroditic,by seed and vegetatively,white,aggregate nutlets,,,,,,,,,Elaiosome,,,,,,,always palmate,,,,,,,,,,Potentilla
